"","company","county_region","city"
"1","3M Company","China mainland","Guangdong"
"2","3M Company","China mainland","Jiangsu"
"3","3M Company","China mainland","Shanghai"
"4","3M Company","Japan","Yamagata"
"5","3M Company","South Korea","Gyeonggi-Do"
"6","3M Company","United States","Alabama"
"7","3M Company","United States","Iowa"
"8","3M Company","United States","Minnesota"
"9","3M Company","United States","Ohio"
"10","3M Company","United States","South Carolina"
"11","3M Company","United States","Wisconsin"
"12","AAC Acoustic Technologies Holdings Incorporated","China mainland","Guangdong"
"13","AAC Acoustic Technologies Holdings Incorporated","China mainland","Jiangsu"
"14","Advanced Semiconductor Engineering Incorporated","China mainland","Jiangsu"
"15","Advanced Semiconductor Engineering Incorporated","China mainland","Shanghai"
"16","Advanced Semiconductor Engineering Incorporated","Japan","Yamagata"
"17","Advanced Semiconductor Engineering Incorporated","South Korea","Gyeonggi-Do"
"18","Advanced Semiconductor Engineering Incorporated","Singapore","Not specific"
"19","Advanced Semiconductor Engineering Incorporated","Taiwan","Kaohsiung"
"20","Advanced Semiconductor Engineering Incorporated","Taiwan","Taoyuan"
"21","AGC Incorporated","Belgium","Antwerp Province"
"22","AGC Incorporated","China mainland","Guangdong"
"23","AGC Incorporated","Japan","Chiba"
"24","AGC Incorporated","Japan","Fukushima"
"25","AGC Incorporated","Japan","Hyogo"
"26","AGC Incorporated","Thailand","Lamphun"
"27","AKM Meadville Electronics (Xiamen) Company Limited","China mainland","Guangdong"
"28","AKM Meadville Electronics (Xiamen) Company Limited","China mainland","Shanghai"
"29","Alpha and Omega Semiconductor Limited","China mainland","Chongqing"
"30","Alpha and Omega Semiconductor Limited","China mainland","Shanghai"
"31","Alpha and Omega Semiconductor Limited","United States","Oregon"
"32","Alps Alpine Company Limited","China mainland","Jiangsu"
"33","Alps Alpine Company Limited","Japan","Fukushima"
"34","Alps Alpine Company Limited","Japan","Miyagi"
"35","Alps Alpine Company Limited","Japan","Nilgata"
"36","Alps Alpine Company Limited","Malaysia","Negeri Sembilan"
"37","Amkor Technology Incorporated","China mainland","Shanghai"
"38","Amkor Technology Incorporated","Japan","Fukui"
"39","Amkor Technology Incorporated","Japan","Hokkaido"
"40","Amkor Technology Incorporated","South Korea","Gyeonggi-Do"
